GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MehdiBernardo,com.softwarequality.jabberpoint.drawer,BitmapItemDrawer,54,0,0,0,13,0,2,0,2,0
MehdiBernardo,com.softwarequality.jabberpoint.drawer,TextItemDrawer,0,81,0,2,0,18,0,4,0,3
MehdiBernardo,com.softwarequality.jabberpoint.drawer,BitmapItem,47,106,0,0,7,28,3,8,3,8
MehdiBernardo,com.softwarequality.jabberpoint.drawer,DrawerFactory,14,40,1,1,1,8,2,3,1,3
MehdiBernardo,com.softwarequality.jabberpoint.drawer,TextItem,28,175,1,5,5,38,3,10,2,8
MehdiBernardo,com.softwarequality.jabberpoint.slide,SlideItem,21,18,0,0,7,7,3,3,3,3
MehdiBernardo,com.softwarequality.jabberpoint.slide,SlideImplementation,77,121,11,11,16,31,15,10,6,8
MehdiBernardo,com.softwarequality.jabberpoint.slide,Style,25,178,3,5,3,23,4,9,1,8
MehdiBernardo,com.softwarequality.jabberpoint.slide,SlideConstants,3,0,0,0,1,0,1,0,1,0
MehdiBernardo,com.softwarequality.jabberpoint.slide,SlideBuilder,0,29,0,0,0,10,0,4,0,4
MehdiBernardo,com.softwarequality.jabberpoint.utils,ValidationUtils,3,8,0,2,1,3,1,2,1,1
MehdiBernardo,com.softwarequality.jabberpoint.utils,ImageLoadingException,0,5,0,0,0,2,0,1,0,1
MehdiBernardo,com.softwarequality.jabberpoint.utils,GraphicsUtils,3,24,0,0,1,3,1,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint,Constants,8,54,0,4,3,13,1,3,1,1
MehdiBernardo,com.softwarequality.jabberpoint,DemoPresentation,0,180,0,0,0,41,0,3,0,3
MehdiBernardo,com.softwarequality.jabberpoint,Accessor,0,7,0,0,0,2,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint,XMLAccessor,211,63,17,1,50,18,11,3,2,3
MehdiBernardo,com.softwarequality.jabberpoint,JabberPoint,11,31,1,1,2,10,2,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint.commands,PrevSlideCommand,0,8,0,0,0,4,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint.commands,SaveCommand,15,37,0,0,2,13,1,5,1,5
MehdiBernardo,com.softwarequality.jabberpoint.commands,AbstractCommand,0,9,0,0,0,4,0,1,0,1
MehdiBernardo,com.softwarequality.jabberpoint.commands,MenuController,10,243,0,0,0,39,3,8,3,8
MehdiBernardo,com.softwarequality.jabberpoint.commands,ExitCommand,0,8,0,0,0,4,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint.commands,NextSlideCommand,0,8,0,0,0,4,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint.commands,AboutBox,3,11,0,0,1,4,1,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint.commands,KeyController,0,118,1,1,0,19,1,3,0,3
MehdiBernardo,com.softwarequality.jabberpoint.commands,NewCommand,7,7,0,0,3,3,1,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint.commands,GotoCommand,0,72,1,7,0,19,1,9,0,6
MehdiBernardo,com.softwarequality.jabberpoint.commands,OpenCommand,0,49,0,0,0,13,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint.presentation,Presentation,24,108,3,7,7,33,5,15,2,13
MehdiBernardo,com.softwarequality.jabberpoint.slideView,SlideViewerFrame,0,58,0,0,0,14,0,2,0,2
MehdiBernardo,com.softwarequality.jabberpoint.slideView,ComponentSlideObserver,0,6,0,0,0,3,0,1,0,1
MehdiBernardo,com.softwarequality.jabberpoint.slideView,SlideViewerComponent.new Observable() {...},5,6,0,0,3,1,1,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint.slideView,SlideViewerFrame.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
MehdiBernardo,com.softwarequality.jabberpoint.slideView,SlideViewerComponent,9,155,0,4,2,42,2,12,2,10
